"Date","Price","Open","High","Low","Change %"
"12/29/2023","97.15","97.15","97.15","97.15","-0.10%"
"12/28/2023","97.25","97.25","97.25","97.25","-0.48%"
"12/27/2023","97.72","97.72","97.72","97.72","0.74%"
"12/26/2023","97.00","97.00","97.00","97.00","-0.08%"
"12/22/2023","97.08","97.08","97.08","97.08","-0.09%"
"12/21/2023","97.16","97.16","97.16","97.16","-0.34%"
"12/20/2023","97.49","97.49","97.49","97.49","0.69%"
"12/19/2023","96.83","96.83","96.83","96.83","-0.06%"
"12/18/2023","96.89","96.89","96.89","96.89","-0.27%"
"12/15/2023","97.15","97.15","97.15","97.15","-0.02%"
"12/14/2023","97.16","97.16","97.16","97.16","1.35%"
"12/13/2023","95.87","95.87","95.87","95.87","1.84%"
"12/12/2023","94.13","94.13","94.13","94.13","-0.12%"
"12/11/2023","94.24","94.24","94.24","94.24","-0.25%"
"12/08/2023","94.48","94.48","94.48","94.48","-0.12%"
"12/07/2023","94.59","94.59","94.59","94.59","-0.28%"
"12/06/2023","94.85","94.85","94.85","94.85","0.15%"
"12/05/2023","94.71","94.71","94.71","94.71","0.69%"
"12/04/2023","94.06","94.06","94.06","94.06","-0.56%"
"12/01/2023","94.59","94.59","94.59","94.59","0.91%"
"11/30/2023","93.74","93.74","93.74","93.74","-0.37%"
"11/29/2023","94.09","94.09","94.09","94.09","0.47%"
"11/28/2023","93.65","93.65","93.65","93.65","0.66%"
"11/27/2023","93.03","93.03","93.03","93.03","0.29%"
"11/24/2023","92.76","92.76","92.76","92.76","-0.56%"
"11/22/2023","93.28","93.28","93.28","93.28","0.03%"
"11/21/2023","93.25","93.25","93.25","93.25","-0.23%"
"11/20/2023","93.46","93.46","93.46","93.46","0.34%"
"11/17/2023","93.14","93.14","93.14","93.14","-0.01%"
"11/16/2023","93.15","93.15","93.15","93.15","0.67%"
"11/15/2023","92.53","92.53","92.53","92.53","-0.55%"
"11/14/2023","93.05","93.05","93.05","93.05","1.33%"
"11/13/2023","91.83","91.83","91.83","91.83","-0.02%"
"11/10/2023","91.84","91.84","91.84","91.84","-0.29%"
"11/09/2023","92.11","92.11","92.11","92.11","-1.35%"
"11/08/2023","93.37","93.37","93.37","93.37","0.39%"
"11/07/2023","93.00","93.00","93.00","93.00","0.49%"
"11/06/2023","92.55","92.55","92.55","92.55","-0.45%"
"11/03/2023","92.97","92.97","92.97","92.97","0.83%"
"11/02/2023","92.20","92.20","92.20","92.20","0.40%"
"11/01/2023","91.84","91.84","91.84","91.84","1.76%"
"10/31/2023","90.25","90.25","90.25","90.25","-0.53%"
"10/30/2023","90.73","90.73","90.73","90.73","-0.27%"
"10/27/2023","90.98","90.98","90.98","90.98","0.04%"
"10/26/2023","90.94","90.94","90.94","90.94","0.90%"
"10/25/2023","90.13","90.13","90.13","90.13","-0.90%"
