Date,resid
2006-01-03,
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-01-26,
2006-01-27,
2006-01-30,
2006-01-31,
2006-02-01,
2006-02-02,
2006-02-03,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-01,
2006-05-02,
2006-05-03,
2006-05-04,
2006-05-05,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,
2006-07-05,
2006-07-06,
2006-07-07,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,
2006-07-21,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-05,
2006-09-06,
2006-09-07,
2006-09-08,
2006-09-11,
2006-09-12,
2006-09-13,
2006-09-14,
2006-09-15,
2006-09-18,
2006-09-19,
2006-09-20,
2006-09-21,
2006-09-22,
2006-09-25,21.4751471033347
2006-09-26,21.0848364269959
2006-09-27,20.757120967100278
2006-09-28,20.433355826783075
2006-09-29,20.021503280832164
2006-10-02,19.60874420379992
2006-10-03,19.016448433371014
2006-10-04,18.29617377809902
2006-10-05,17.641279178306522
2006-10-06,17.03338730763481
2006-10-09,16.487441193640272
2006-10-10,15.855862266940518
2006-10-11,15.202837121719591
2006-10-12,14.61738569574155
2006-10-13,14.17642267716332
2006-10-16,13.774509731240181
2006-10-17,13.29998195828116
2006-10-18,12.823346645576382
2006-10-19,12.478581084019039
2006-10-20,12.055208490235868
2006-10-23,11.485809982217729
2006-10-24,11.020197788479345
2006-10-25,10.570182332035959
2006-10-26,10.22882964645583
2006-10-27,9.87697559909785
2006-10-30,9.49801059945163
2006-10-31,9.138272096712544
2006-11-01,8.91087024289372
2006-11-02,8.743093143382408
2006-11-03,8.52550339156804
2006-11-06,8.266237025848762
2006-11-07,8.015960271196068
2006-11-08,7.620594778315548
2006-11-09,7.420851803044432
2006-11-10,7.145511668180058
2006-11-13,6.846637621004868
2006-11-14,6.572723713222354
2006-11-15,6.287310069602913
2006-11-16,6.011881567182327
2006-11-17,5.735866286740828
2006-11-20,5.447586375260967
2006-11-21,5.183819318945973
